
23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃
188	23	0.977205288	188	23	0.966701712	188	23	0.975595361	188	23	0.977315896	188	23	0.980459581	188	23	0.975490164	188	23	0.977982822	188	23	0.977272837	188	35	0.965576704	188	35	0.968073479	188	35	0.966179294	188	35	0.965273864	188	45	0.942925178	188	45	0.945175699	188	45	0.94072379	188	45	0.942435251	188	45	0.944148482	188	45	0.937027527
189	23	0.977429606	189	23	0.967999534	189	23	0.975199874	189	23	0.9773296	189	23	0.981695081	189	23	0.976399207	189	23	0.978178708	189	23	0.978939282	189	35	0.965324707	189	35	0.967821007	189	35	0.965960972	189	35	0.964994868	189	45	0.94268195	189	45	0.944878852	189	45	0.940440038	189	45	0.942178138	189	45	0.943931147	189	45	0.936567316
190	23	0.97751339	190	23	0.968962379	190	23	0.977470068	190	23	0.977878143	190	23	0.980347647	190	23	0.976342774	190	23	0.977954857	190	23	0.978785515	190	35	0.965038369	190	35	0.967602862	190	35	0.965695052	190	35	0.96464175	190	45	0.942397754	190	45	0.944595198	190	45	0.940183866	190	45	0.941866698	190	45	0.943646391	190	45	0.936350513
191	23	0.977667509	191	23	0.968111031	191	23	0.977456083	191	23	0.977737295	191	23	0.979393056	191	23	0.976077174	191	23	0.977716086	191	23	0.979568121	191	35	0.964854416	191	35	0.967343807	191	35	0.965429264	191	35	0.964342775	191	45	0.942032934	191	45	0.944204317	191	45	0.939724247	191	45	0.941500672	191	45	0.943361851	191	45	0.936106867
192	23	0.977611451	192	23	0.968166845	192	23	0.975341768	192	23	0.977301071	192	23	0.979855543	192	23	0.976119337	192	23	0.97756179	192	23	0.979387149	192	35	0.964616076	192	35	0.967179873	192	35	0.965313148	192	35	0.964009822	192	45	0.941559438	192	45	0.943826371	192	45	0.939440689	192	45	0.941093738	192	45	0.943050022	192	45	0.935605861
193	23	0.977162837	193	23	0.968432016	193	23	0.975905635	193	23	0.977751201	193	23	0.979574612	193	23	0.975755207	193	23	0.977239885	193	23	0.97772182	193	35	0.964398233	193	35	0.96698217	193	35	0.965081074	193	35	0.96377179	193	45	0.940910573	193	45	0.943246129	193	45	0.9388057	193	45	0.940484559	193	45	0.942670296	193	45	0.93519964
194	23	0.977359183	194	23	0.968682971	194	23	0.97680815	194	23	0.977175026	194	23	0.979392608	194	23	0.975405614	194	23	0.97700203	194	23	0.97870024	194	35	0.964166655	194	35	0.966777325	194	35	0.964829224	194	35	0.96366967	194	45	0.939409636	194	45	0.942746793	194	45	0.938237915	194	45	0.939942175	194	45	0.942182282	194	45	0.934779598
195	23	0.976658522	195	23	0.968682726	195	23	0.975313686	195	23	0.976401036	195	23	0.97986987	195	23	0.975266259	195	23	0.976791424	195	23	0.97809903	195	35	0.963955044	195	35	0.966498279	195	35	0.964584143	195	35	0.963473079	195	45	0.939179756	195	45	0.941639428	195	45	0.937373235	195	45	0.939047531	195	45	0.941558689	195	45	0.934197391
196	23	0.975972385	196	23	0.969017949	196	23	0.975242593	196	23	0.976120283	196	23	0.979898055	196	23	0.975070737	196	23	0.976553547	196	23	0.977063276	196	35	0.963737626	196	35	0.966313823	196	35	0.964365157	196	35	0.96317368	196	45	0.93894966	196	45	0.941531834	196	45	0.937292262	196	45	0.938980108	196	45	0.940541511	196	45	0.933411728
197	23	0.975818445	197	23	0.96919863	197	23	0.976116329	197	23	0.976091755	197	23	0.980066918	197	23	0.975154105	197	23	0.975195278	197	23	0.977427029	197	35	0.963362666	197	35	0.966096129	197	35	0.964127031	197	35	0.962990056	197	45	0.938706044	197	45	0.941302139	197	45	0.937008229	197	45	0.938491922	197	45	0.940460207	197	45	0.932856689
198	23	0.974598993	198	23	0.969129445	198	23	0.976258201	198	23	0.974600989	198	23	0.977736417	198	23	0.974162341	198	23	0.972702367	198	23	0.977272592	198	35	0.963212948	198	35	0.965557257	198	35	0.963690361	198	35	0.962819901	198	45	0.938287512	198	45	0.940978453	198	45	0.936697328	198	45	0.937909539	198	45	0.940283956	198	45	0.93262626
199	23	0.974654894	199	23	0.970147393	199	23	0.97606057	199	23	0.974277085	199	23	0.978845723	199	23	0.976133183	199	23	0.973346936	199	23	0.977594432	199	35	0.963417558	199	35	0.967377788	199	35	0.965504286	199	35	0.965029111	199	45	0.93726007	199	45	0.941261934	199	45	0.936751152	199	45	0.937841014	199	45	0.94016159	199	45	0.931840813
200	23	0.974444852	200	23	0.969645326	200	23	0.976145535	200	23	0.974221015	200	23	0.979168091	200	23	0.976762624	200	23	0.973444589	200	23	0.982212561	200	35	0.963131459	200	35	0.967561766	200	35	0.965169608	200	35	0.964811058	200	45	0.937340909	200	45	0.939777678	200	45	0.935494554	200	45	0.93648673	200	45	0.939917702	200	45	0.931082102
201	23	0.974710973	201	23	0.969561704	201	23	0.976427682	201	23	0.974544695	201	23	0.979379198	201	23	0.976833082	201	23	0.973416222	201	23	0.980464011	201	35	0.962798026	201	35	0.967138776	201	35	0.964876053	201	35	0.964471357	201	45	0.937300349	201	45	0.940290595	201	45	0.935751394	201	45	0.936960848	201	45	0.938344785	201	45	0.919461743
202	23	0.975061482	202	23	0.969268749	202	23	0.976766083	202	23	0.974867882	202	23	0.981232101	202	23	0.977322677	202	23	0.973361276	202	23	0.981513579	202	35	0.962491084	202	35	0.967173368	202	35	0.964371714	202	35	0.964233537	202	45	0.937151588	202	45	0.940061116	202	45	0.935507719	202	45	0.936811568	202	45	0.938982065	202	45	0.928739604
203	23	0.974739102	203	23	0.969561459	203	23	0.97603224	203	23	0.974121905	203	23	0.981077879	203	23	0.977196031	203	23	0.973305012	203	23	0.980112935	203	35	0.962102893	203	35	0.967247942	203	35	0.963908258	203	35	0.963594463	203	45	0.936732388	203	45	0.939912606	203	45	0.935399769	203	45	0.936567572	203	45	0.938914124	203	45	0.930175091
204	23	0.974752709	204	23	0.969268704	204	23	0.975666207	204	23	0.9737568	204	23	0.980038666	204	23	0.977293713	204	23	0.973459085	204	23	0.979931918	204	35	0.96190523	204	35	0.966095545	204	35	0.963874331	204	35	0.963445108	204	45	0.936394306	204	45	0.939561801	204	45	0.935007829	204	45	0.936270027	204	45	0.938615724	204	45	0.929863677
205	23	0.974934823	205	23	0.970063971	205	23	0.975567279	205	23	0.973630262	205	23	0.980178381	205	23	0.977182697	205	23	0.972744805	205	23	0.978938367	205	35	0.96166689	205	35	0.967077902	205	35	0.963622082	205	35	0.963200169	205	45	0.93594841	205	45	0.939251674	205	45	0.93468372	205	45	0.935863094	205	45	0.938290554	205	45	0.929470845
206	23	0.97482311	206	23	0.970580097	206	23	0.975440674	206	23	0.973391157	206	23	0.977933241	206	23	0.976651563	206	23	0.971581997	206	23	0.980491684	206	35	0.961442285	206	35	0.966361716	206	35	0.963363063	206	35	0.962894499	206	45	0.935083099	206	45	0.938738348	206	45	0.934089023	206	45	0.935144807	206	45	0.93805979	206	45	0.929091857
207	23	0.974557235	207	23	0.970635934	207	23	0.975341544	207	23	0.973321025	207	23	0.980081447	207	23	0.976049971	207	23	0.971904104	207	23	0.978938166	207	35	0.961149026	207	35	0.966661841	207	35	0.962912695	207	35	0.962520978	207	45	0.934528484	207	45	0.938022919	207	45	0.933359873	207	45	0.934385828	207	45	0.937571581	207	45	0.928915633
208	23	0.973870203	208	23	0.970342956	208	23	0.975412165	208	23	0.973363167	208	23	0.980319641	208	23	0.976483445	208	23	0.971876139	208	23	0.978168415	208	35	0.960985678	208	35	0.965816074	208	35	0.962824134	208	35	0.962370935	208	45	0.933987907	208	45	0.937537357	208	45	0.932778558	208	45	0.933871105	208	45	0.936730848	208	45	0.918923138
209	23	0.973645684	209	23	0.970273771	209	23	0.97538379	209	23	0.973306402	209	23	0.980600125	209	23	0.97663687	209	23	0.971974663	209	23	0.979162657	209	35	0.960781253	209	35	0.964288687	209	35	0.963021829	209	35	0.962228301	209	45	0.933771439	209	45	0.937037784	209	45	0.932278689	209	45	0.933397009	209	45	0.93620216	209	45	0.926585187
210	23	0.973730563	210	23	0.970008601	210	23	0.97551062	210	23	0.973264237	210	23	0.980193157	210	23	0.976818545	210	23	0.971904774	210	23	0.978770763	210	35	0.960617666	210	35	0.963941147	210	35	0.962899182	210	35	0.961902493	210	45	0.933595465	210	45	0.936849005	210	45	0.932062745	210	45	0.933152775	210	45	0.935646421	210	45	0.92535376
211	23	0.973477892	211	23	0.969003756	211	23	0.975073989	211	23	0.972842816	211	23	0.9811623	211	23	0.977210791	211	23	0.971582221	211	23	0.978546896	211	35	0.960366358	211	35	0.96364126	211	35	0.962585371	211	35	0.961663799	211	45	0.933460246	211	45	0.936457521	211	45	0.93169733	211	45	0.932922674	211	45	0.935307412	211	45	0.92600339
212	23	0.972960194	212	23	0.968264527	212	23	0.974552144	212	23	0.972336168	212	23	0.981176179	212	23	0.97702818	212	23	0.971959452	212	23	0.97990449	212	35	0.960174715	212	35	0.96366149	212	35	0.962599069	212	35	0.961453527	212	45	0.933068236	212	45	0.936295667	212	45	0.931494789	212	45	0.932692076	212	45	0.935063264	212	45	0.926058028
213	23	0.973043733	213	23	0.968028054	213	23	0.974552369	213	23	0.972139497	213	23	0.980599945	213	23	0.977014556	213	23	0.971329825	213	23	0.979148821	213	35	0.959984425	213	35	0.963695604	213	35	0.962435514	213	35	0.961344474	213	45	0.932797451	213	45	0.935958378	213	45	0.931089274	213	45	0.932394078	213	45	0.934941547	213	45	0.925895863
214	23	0.972791754	214	23	0.96756712	214	23	0.974919121	214	23	0.972420945	214	23	0.97951954	214	23	0.976231513	214	23	0.970853869	214	23	0.980939373	214	35	0.959773503	214	35	0.963504644	214	35	0.962606264	214	35	0.961263419	214	45	0.93239205	214	45	0.935660972	214	45	0.93077902	214	45	0.932028008	214	45	0.934534144	214	45	0.925705603
215	23	0.972861239	215	23	0.96823672	215	23	0.975270923	215	23	0.972363978	215	23	0.977483648	215	23	0.975756099	215	23	0.970853847	215	23	0.979917858	215	35	0.959732215	215	35	0.963879582	215	35	0.96189685	215	35	0.961344713	215	45	0.931756382	215	45	0.935242777	215	45	0.930359909	215	45	0.931540276	215	45	0.934263421	215	45	0.925380755
216	23	0.97269385	216	23	0.968264527	216	23	0.975228653	216	23	0.972181415	216	23	0.979715178	216	23	0.976426387	216	23	0.970307086	216	23	0.977258733	216	35	0.959453276	216	35	0.963409177	216	35	0.962353988	216	35	0.96106614	216	45	0.930944761	216	45	0.934500617	216	45	0.929670643	216	45	0.930767964	216	45	0.933869878	216	45	0.924757711
217	23	0.972679126	217	23	0.968181061	217	23	0.975327604	217	23	0.97228012	217	23	0.977680674	217	23	0.975322224	217	23	0.968822641	217	23	0.979218273	217	35	0.959221539	217	35	0.963456857	217	35	0.962019762	217	35	0.960964259	217	45	0.930376993	217	45	0.933758112	217	45	0.928833306	217	45	0.930104307	217	45	0.933327783	217	45	0.924987751
218	23	0.972511312	218	23	0.968097216	218	23	0.975257432	218	23	0.97213907	218	23	0.977946896	218	23	0.974287649	218	23	0.968318721	218	23	0.977972691	218	35	0.958962991	218	35	0.963252172	218	35	0.961296624	218	35	0.960617148	218	45	0.930309933	218	45	0.933299433	218	45	0.92830603	218	45	0.929656984	218	45	0.932609027	218	45	0.9243243
219	23	0.972259065	219	23	0.968139038	219	23	0.974848455	219	23	0.971857801	219	23	0.977947098	219	23	0.973854889	219	23	0.968150085	219	23	0.975495497	219	35	0.958656023	219	35	0.962972701	219	35	0.96156281	219	35	0.960264241	219	45	0.930256048	219	45	0.933286067	219	45	0.92818472	219	45	0.929642938	219	45	0.932066478	219	45	0.924378744
220	23	0.971516155	220	23	0.967636282	220	23	0.973805261	220	23	0.971576981	220	23	0.977301264	220	23	0.97360289	220	23	0.968066303	220	23	0.975845814	220	35	0.958432294	220	35	0.962427511	220	35	0.96102412	220	35	0.959964684	220	45	0.92997183	220	45	0.933137149	220	45	0.928089935	220	45	0.929453637	220	45	0.931849597	220	45	0.92427031
221	23	0.970942244	221	23	0.96756712	221	23	0.971901325	221	23	0.970943839	221	23	0.977160429	221	23	0.973308839	221	23	0.967421934	221	23	0.975216685	221	35	0.958192707	221	35	0.962154518	221	35	0.960778853	221	35	0.959923667	221	45	0.929755168	221	45	0.932853711	221	45	0.927738698	221	45	0.929141786	221	45	0.93145653	221	45	0.924080892
222	23	0.971796598	222	23	0.967650987	222	23	0.973283641	222	23	0.971858227	222	23	0.975911698	222	23	0.972554067	222	23	0.967071729	222	23	0.97475362	222	35	0.957941346	222	35	0.962250011	222	35	0.960212527	222	35	0.959557106	222	45	0.929485181	222	45	0.932637812	222	45	0.927481901	222	45	0.928938654	222	45	0.931158324	222	45	0.92393149
223	23	0.972665296	223	23	0.967567364	223	23	0.973198608	223	23	0.971942355	223	23	0.976684017	223	23	0.972330006	223	23	0.966862375	223	23	0.973913837	223	35	0.957176259	223	35	0.967294321	223	35	0.966067956	223	35	0.965346054	223	45	0.929025033	223	45	0.932327212	223	45	0.927238851	223	45	0.928653881	223	45	0.930927626	223	45	0.923674282
224	23	0.972931596	224	23	0.967329734	224	23	0.97322651	224	23	0.972124941	224	23	0.977203188	224	23	0.972372102	224	23	0.967001773	224	23	0.975160044	224	35	0.957491262	224	35	0.961949885	224	35	0.96021274	224	35	0.959163024	224	45	0.927957225	224	45	0.931800993	224	45	0.926726011	224	45	0.928017041	224	45	0.930792027	224	45	0.923281451
225	23	0.972693403	225	23	0.967134683	225	23	0.973691673	225	23	0.972167105	225	23	0.976950419	225	23	0.972344454	225	23	0.967002689	225	23	0.973214608	225	35	0.957226218	225	35	0.962509013	225	35	0.95963991	225	35	0.958924965	225	45	0.927173033	225	45	0.930761663	225	45	0.925576911	225	45	0.926987508	225	45	0.930656449	225	45	0.923078426
226	23	0.972791754	226	23	0.966102231	226	23	0.973861425	226	23	0.97236427	226	23	0.976627648	226	23	0.97209299	226	23	0.966623648	226	23	0.975551916	226	35	0.956967724	226	35	0.961070403	226	35	0.959408102	226	35	0.958734408	226	45	0.92618587	226	45	0.930181787	226	45	0.92492811	226	45	0.926201583	226	45	0.929666537	226	45	0.922889051
227	23	0.972693157	227	23	0.965348987	227	23	0.973607585	227	23	0.97239226	227	23	0.97664108	227	23	0.972092968	227	23	0.966413691	227	23	0.973746233	227	35	0.95672896	227	35	0.960777233	227	35	0.959108016	227	35	0.958469278	227	45	0.926118379	227	45	0.929925059	227	45	0.924036712	227	45	0.926174808	227	45	0.928934396	227	45	0.922631821
228	23	0.972623069	228	23	0.965334994	228	23	0.972930828	228	23	0.972167756	228	23	0.975574107	228	23	0.971686719	228	23	0.966498322	228	23	0.973564524	228	35	0.956483724	228	35	0.960033649	228	35	0.958685628	228	35	0.958095572	228	45	0.926537774	228	45	0.928332542	228	45	0.923009783	228	45	0.924723907	228	45	0.927564953	228	45	0.921710319
229	23	0.972245213	229	23	0.964414417	229	23	0.972775488	229	23	0.972139968	229	23	0.976992529	229	23	0.971869107	229	23	0.966386195	229	23	0.974123822	229	35	0.956245437	229	35	0.959931652	229	35	0.958446652	229	35	0.957871672	229	45	0.926605049	229	45	0.929817185	229	45	0.924361015	229	45	0.925862525	229	45	0.926439464	229	45	0.921615491
230	23	0.972805562	230	23	0.96435858	230	23	0.974115512	230	23	0.972899356	230	23	0.976501566	230	23	0.971841013	230	23	0.966483826	230	23	0.973508061	230	35	0.956047721	230	35	0.959747435	230	35	0.958126125	230	35	0.957728773	230	45	0.926267161	230	45	0.929614911	230	45	0.924320485	230	45	0.925604915	230	45	0.925761359	230	45	0.92153496
231	23	0.973155646	231	23	0.965125861	231	23	0.973903536	231	23	0.973138013	231	23	0.976094598	231	23	0.971799318	231	23	0.966595483	231	23	0.973928075	231	35	0.955870902	231	35	0.959038284	231	35	0.957887335	231	35	0.957531917	231	45	0.925956033	231	45	0.929250266	231	45	0.92395548	231	45	0.925212093	231	45	0.925761359	231	45	0.921236481
232	23	0.973239699	232	23	0.965139431	232	23	0.975539152	232	23	0.973404636	232	23	0.97629028	232	23	0.971673118	232	23	0.966077781	232	23	0.972682582	232	35	0.955645634	232	35	0.959645251	232	35	0.957819269	232	35	0.957314315	232	45	0.925523658	232	45	0.928966635	232	45	0.923631198	232	45	0.924913835	232	45	0.925083255	232	45	0.920965905
233	23	0.97307146	233	23	0.965362557	233	23	0.973734662	233	23	0.973109978	233	23	0.975293624	233	23	0.971211573	233	23	0.965937713	233	23	0.973256788	233	35	0.955434527	233	35	0.959454079	233	35	0.957730549	233	35	0.957130452	233	45	0.924157681	233	45	0.928521752	233	45	0.923199008	233	45	0.924561855	233	45	0.921720409	233	45	0.920722323
234	23	0.972678657	234	23	0.965515853	234	23	0.97407304	234	23	0.973081472	234	23	0.975082965	234	23	0.971015605	234	23	0.965797666	234	23	0.973928075	234	35	0.955285021	234	35	0.959808575	234	35	0.957348857	234	35	0.956865137	234	45	0.923373208	234	45	0.926888125	234	45	0.921577598	234	45	0.923070997	234	45	0.923944143	234	45	0.920071852
235	23	0.972343341	235	23	0.965390142	235	23	0.975511093	235	23	0.972589379	235	23	0.975686689	235	23	0.971100066	235	23	0.965797443	235	23	0.972626811	235	35	0.95509412	235	35	0.958833599	235	35	0.956550963	235	35	0.956694956	235	45	0.920790448	235	45	0.926321443	235	45	0.920767001	235	45	0.92247474	235	45	0.92428339	235	45	0.919571235
236	23	0.97141834	236	23	0.965404624	236	23	0.972677258	236	23	0.972027155	236	23	0.976459232	236	23	0.971127268	236	23	0.965601133	236	23	0.974460391	236	35	0.954815155	236	35	0.958635949	236	35	0.956401132	236	35	0.956450599	236	45	0.923400399	236	45	0.92389187	236	45	0.916659048	236	45	0.920631665	236	45	0.924337686	236	45	0.910795027
237	23	0.970605498	237	23	0.964246728	237	23	0.971690182	237	23	0.971281582	237	23	0.975461949	237	23	0.970679547	237	23	0.965755474	237	23	0.973242728	237	35	0.954678987	237	35	0.959106539	237	35	0.956373921	237	35	0.956274173	237	45	0.923292154	237	45	0.925727168	237	45	0.920118221	237	45	0.922081918	237	45	0.924147855	237	45	0.919151387
238	23	0.970339422	238	23	0.964385964	238	23	0.972113368	238	23	0.971197051	238	23	0.975784989	238	23	0.970848379	238	23	0.965573861	238	23	0.971646561	238	35	0.954501928	238	35	0.958622223	238	35	0.95651008	238	35	0.956117858	238	45	0.923211056	238	45	0.925781858	238	45	0.920091266	238	45	0.922122717	238	45	0.923862818	238	45	0.919192225
239	23	0.970227285	239	23	0.964623795	239	23	0.971986336	239	23	0.97091558	239	23	0.974521685	239	23	0.970261481	239	23	0.965307371	239	23	0.96928158	239	35	0.954317896	239	35	0.958888394	239	35	0.956223453	239	35	0.955947279	239	45	0.923089055	239	45	0.925660209	239	45	0.920037183	239	45	0.921959801	239	45	0.923537388	239	45	0.918880357
240	23	0.970437483	240	23	0.965111624	240	23	0.970759877	240	23	0.970873886	240	23	0.974114471	240	23	0.970107409	240	23	0.965195513	240	23	0.971212755	240	35	0.954100239	240	35	0.959133538	240	35	0.95606011	240	35	0.955791388	240	45	0.922751382	240	45	0.925484796	240	45	0.919875602	240	45	0.921770067	240	45	0.923185189	240	45	0.918609759
241	23	0.970325346	241	23	0.963814513	241	23	0.972620824	241	23	0.97080344	241	23	0.973483188	241	23	0.969841853	241	23	0.965434038	241	23	0.969995315	241	35	0.953970806	241	35	0.958390167	241	35	0.956087506	241	35	0.955621894	241	45	0.922399651	241	45	0.925160701	241	45	0.919550889	241	45	0.921417807	241	45	0.923374803	241	45	0.918203106
242	23	0.970143523	242	23	0.963828461	242	23	0.970689211	242	23	0.970550452	242	23	0.974367463	242	23	0.970107409	242	23	0.965209584	242	23	0.970163343	242	35	0.953800457	242	35	0.957551542	242	35	0.955732839	242	35	0.955356288	242	45	0.921493823	242	45	0.924715387	242	45	0.919294265	242	45	0.921010484	242	45	0.92268327	242	45	0.917837939
243	23	0.970017243	243	23	0.963828261	243	23	0.970759585	243	23	0.970015522	243	23	0.974240754	243	23	0.969757594	243	23	0.965685317	243	23	0.973984561	243	35	0.953623213	243	35	0.956917362	243	35	0.955480776	243	35	0.955213681	243	45	0.921222974	243	45	0.924971082	243	45	0.91921299	243	45	0.921458454	243	45	0.92264264	243	45	0.917445086
244	23	0.969610386	244	23	0.963521936	244	23	0.970970706	244	23	0.969846685	244	23	0.974409304	244	23	0.970149171	244	23	0.965573414	244	23	0.971997169	244	35	0.953377527	244	35	0.957538294	244	35	0.955255473	244	35	0.955145804	244	45	0.920682656	244	45	0.924472391	244	45	0.919226392	244	45	0.920821204	244	45	0.922493029	244	45	0.916862447
245	23	0.969442572	245	23	0.962601158	245	23	0.970265845	245	23	0.970100166	245	23	0.973847621	245	23	0.969757103	245	23	0.964943094	245	23	0.972808207	245	35	0.953303013	245	35	0.95822618	245	35	0.955030355	245	35	0.954880463	245	45	0.920709825	245	45	0.924108177	245	45	0.918348353	245	45	0.920523616	245	45	0.922276364	245	45	0.916307624
246	23	0.969457117	246	23	0.962056802	246	23	0.970971403	246	23	0.970001438	246	23	0.972949265	246	23	0.96900193	246	23	0.964382686	246	23	0.973214184	246	35	0.953139637	246	35	0.956665315	246	35	0.954982729	246	35	0.954717691	246	45	0.920682634	246	45	0.924121543	246	45	0.918578043	246	45	0.920537014	246	45	0.922100351	246	45	0.915724553
247	23	0.96944284	247	23	0.961610328	247	23	0.969829438	247	23	0.970016016	247	23	0.973216338	247	23	0.96900193	247	23	0.964382709	247	23	0.971688786	247	35	0.952839908	247	35	0.956671873	247	35	0.954744152	247	35	0.954615572	247	45	0.92043917	247	45	0.923810964	247	45	0.918253977	247	45	0.920266027	247	45	0.921679996	247	45	0.915697105
248	23	0.969428563	248	23	0.961163854	248	23	0.968687472	248	23	0.970030594	248	23	0.973483412	248	23	0.96900193	248	23	0.964382731	248	23	0.970163388	248	35	0.952540179	248	35	0.95667843	248	35	0.954505575	248	35	0.954513452	248	45	0.920195705	248	45	0.923500386	248	45	0.91792991	248	45	0.919995041	248	45	0.92125964	248	45	0.915669656
249	23	0.969232843	249	23	0.961066173	249	23	0.969476872	249	23	0.969622382	249	23	0.974157431	249	23	0.968904315	249	23	0.964200716	249	23	0.96999536	249	35	0.952731107	249	35	0.956173832	249	35	0.954164819	249	35	0.954207967	249	45	0.919911702	249	45	0.923284487	249	45	0.917807976	249	45	0.919709814	249	45	0.92105636	249	45	0.915602082
250	23	0.968812112	250	23	0.96074541	250	23	0.970661354	250	23	0.969523722	250	23	0.974705055	250	23	0.968736419	250	23	0.963753082	250	23	0.969907652	250	35	0.952370042	250	35	0.956358075	250	35	0.954273767	250	35	0.954004469	250	45	0.919627743	250	45	0.922960327	250	45	0.917510649	250	45	0.919439238	250	45	0.920757959	250	45	0.915344852
251	23	0.968588039	251	23	0.960912877	251	23	0.969984372	251	23	0.969172275	251	23	0.972711025	251	23	0.968177191	251	23	0.963836819	251	23	0.968819453	251	35	0.952179354	251	35	0.956289741	251	35	0.954566925	251	35	0.953956519	251	45	0.919289661	251	45	0.922771161	251	45	0.917118904	251	45	0.919195263	251	45	0.920513811	251	45	0.91504659
252	23	0.968223656	252	23	0.961638314	252	23	0.968645226	252	23	0.968919063	252	23	0.973624224	252	23	0.968400807	252	23	0.963850265	252	23	0.968568337	252	35	0.951974929	252	35	0.956508125	252	35	0.954928122	252	35	0.953752544	252	45	0.919113709	252	45	0.922406989	252	45	0.916956892	252	45	0.918843262	252	45	0.919212093	252	45	0.914789209
253	23	0.967831277	253	23	0.961149795	253	23	0.971563149	253	23	0.969256582	253	23	0.973876724	253	23	0.968582749	253	23	0.963751965	253	23	0.966566929	253	35	0.951688618	253	35	0.956412844	253	35	0.95394647	253	35	0.953480482	253	45	0.918843076	253	45	0.922218468	253	45	0.916686219	253	45	0.918680324	253	45	0.919524137	253	45	0.91432876
254	23	0.968111698	254	23	0.960048203	254	23	0.967221136	254	23	0.967864276	254	23	0.971995322	254	23	0.968317015	254	23	0.963359992	254	23	0.967574339	254	35	0.951498116	254	35	0.955799107	254	35	0.954062348	254	35	0.953371852	254	45	0.918315846	254	45	0.921583924	254	45	0.916457174	254	45	0.917704859	254	45	0.919510493	254	45	0.913841554
255	23	0.967705713	255	23	0.960675514	255	23	0.967982184	255	23	0.968131819	255	23	0.972261747	255	23	0.968163122	255	23	0.963080123	255	23	0.969141471	255	35	0.951232621	255	35	0.956664705	255	35	0.954157863	255	35	0.953215775	255	45	0.918194254	255	45	0.921516341	255	45	0.915632809	255	45	0.917758841	255	45	0.919252766	255	45	0.913516318
256	23	0.968223634	256	23	0.961624321	256	23	0.968899088	256	23	0.968511278	256	23	0.971517881	256	23	0.967799705	256	23	0.962996095	256	23	0.968414413	256	35	0.951020851	256	35	0.955628642	256	35	0.953933011	256	35	0.952896239	256	45	0.918099809	256	45	0.921300249	256	45	0.915659311	256	45	0.917704816	256	45	0.919022262	256	45	0.913340548
257	23	0.968265593	257	23	0.961568484	257	23	0.968870534	257	23	0.968046817	257	23	0.972388903	257	23	0.967911658	257	23	0.963122048	257	23	0.969618172	257	35	0.950823825	257	35	0.955219563	257	35	0.953271674	257	35	0.952555902	257	45	0.917924095	257	45	0.921151739	257	45	0.915524664	257	45	0.917514693	257	45	0.918818982	257	45	0.913191493
258	23	0.968265861	258	23	0.961345114	258	23	0.968066925	258	23	0.967554994	258	23	0.971630889	258	23	0.967897834	258	23	0.962981622	258	23	0.968610316	258	35	0.950993909	258	35	0.954489864	258	35	0.952876257	258	35	0.952277541	258	45	0.917667024	258	45	0.920895205	258	45	0.915308311	258	45	0.917257516	258	45	0.918371424	258	45	0.913029112
259	23	0.967915084	259	23	0.960913144	259	23	0.967193009	259	23	0.966978326	259	23	0.973160327	259	23	0.967911613	259	23	0.962604346	259	23	0.970332331	259	35	0.950782537	259	35	0.954701266	259	35	0.953482828	259	35	0.952719124	259	45	0.91754541	259	45	0.920666178	259	45	0.9150112	259	45	0.917000575	259	45	0.917774839	259	45	0.912893684
260	23	0.967635334	260	23	0.960298936	260	23	0.968193777	260	23	0.966599091	260	23	0.971377919	260	23	0.967589646	260	23	0.962617524	260	23	0.970947378	260	35	0.950551621	260	35	0.954298957	260	35	0.952848914	260	35	0.952610945	260	45	0.916869441	260	45	0.920449677	260	45	0.914902797	260	45	0.916756147	260	45	0.916364767	260	45	0.912582269
261	23	0.967298856	261	23	0.960270906	261	23	0.967530465	261	23	0.966598844	261	23	0.970282314	261	23	0.967380323	261	23	0.962659493	261	23	0.969380067	261	35	0.950217738	261	35	0.95391725	261	35	0.952596612	261	35	0.952311572	261	45	0.916476762	261	45	0.919842725	261	45	0.914348609	261	45	0.916119545	261	45	0.916323877	261	45	0.912202827
262	23	0.966878862	262	23	0.96073184	262	23	0.967347202	262	23	0.966163114	262	23	0.971152978	262	23	0.967617763	262	23	0.962407321	262	23	0.967112837	262	35	0.95002697	262	35	0.953568834	262	35	0.952153199	262	35	0.951829264	262	45	0.91451628	262	45	0.919464585	262	45	0.913821785	262	45	0.915441431	262	45	0.917381491	262	45	0.898877053
263	23	0.966696749	263	23	0.960633536	263	23	0.967869091	263	23	0.96640177	263	23	0.970002054	263	23	0.967197444	263	23	0.961861208	263	23	0.967994131	263	35	0.949877119	263	35	0.953460332	263	35	0.951812203	263	35	0.951734315	263	45	0.916193212	263	45	0.91819599	263	45	0.912687531	263	45	0.91248757	263	45	0.917245676	263	45	0.909995542
